,City,Country,Lat,Lng,Hotel Name
0,ambon,ID,-3.7,128.18,Orchid Hotel
1,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
2,atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
3,port hedland,CD,-7.03,29.76,
4,rikitea,PF,-23.12,-134.97,Pension Maro'i
5,mataura,NZ,-46.19,168.86,Ellie's Villa
6,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
7,kavieng,PG,-2.57,150.8,Nusa Island Retreat
8,hermanus,ZA,-34.42,19.23,The Marine Hermanus
9,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
10,kodiak,US,57.79,-152.41,Shelikof Lodge
11,busselton,AU,-33.65,115.33,Broadwater Resort
12,eyl,SO,7.98,49.82,Amiin Hotel
13,punta arenas,PH,8.99,125.34,
14,bang saphan,CM,9.87,13.98,
15,puerto ayora,ES,36.59,-6.23,Duques de Medinaceli
16,castro,BR,-24.79,-50.01,Hotel Buganville Express
17,komsomolskiy,UZ,40.43,71.72,Hotel Mehmon Saroy
18,namatanai,PG,-3.67,152.43,Namatanai Hotel
19,inirida,CO,3.87,-67.92,La Cabaña Guainiana
20,tabuk,PH,17.42,121.44,Grand Zion Garden Resort Hotel
21,batagay-alyta,RU,67.8,130.41,
22,kaili,ID,-3.46,120.21,
23,port alfred,CD,-7.03,29.76,
24,khatanga,RU,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
25,rio gallegos,GR,38.3,21.78,Airotel Achaia Beach
26,kautokeino,NO,69.01,23.04,Thon Hotel Kautokeino
27,hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
28,sincelejo,CO,9.3,-75.4,Hotel Y Centro De Eventos Malibu
29,nishihara,JP,26.18,127.76,DoubleTree by Hilton Hotel Naha Shuri Castle
30,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
31,tiksi,RU,71.69,128.87,Arktika
32,sangamner,IN,19.57,74.22,Malpani Health Club & Resort
33,shelburne,CA,44.08,-80.2,Shelburne Motel
34,mys shmidta,RU,62.06,48.62,
35,vaini,TO,-21.2,-175.2,Paradise First Hotel
36,albany,US,42.6,-73.97,
37,norman wells,US,35.22,-97.44,Courtyard by Marriott Norman
38,mwinilunga,ZM,-11.74,24.43,Adayi Lodge
39,cape town,CL,-36.41,-71.9,Hotel Molino Viejo
40,dawlatabad,AF,36.41,64.91,
41,port-gentil,GA,-0.72,8.78,Residence Ophelia Lodge
42,gympie,AU,-26.19,152.66,The Australian Hotel
43,kaitangata,NZ,-46.28,169.85,
44,bluff,NZ,-46.6,168.33,Land's End Boutique Hotel
45,seoul,KR,37.57,126.98,"Four Points by Sheraton Seoul, Namsan"
