City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ambon,40,ID,1587250250,88,-3.7,128.18,78.8,6.93
qaanaaq,100,GL,1587250113,88,77.48,-69.36,21.69,19.26
atuona,95,PF,1587250254,75,-9.8,-139.03,82.0,17.6
port hedland,98,CD,1587250297,60,-7.03,29.76,73.72,3.42
rikitea,42,PF,1587250251,70,-23.12,-134.97,77.41,5.93
mataura,80,NZ,1587250250,77,-46.19,168.86,52.0,8.99
avarua,70,CK,1587250000,74,-21.21,-159.78,82.4,6.93
kavieng,93,PG,1587250548,74,-2.57,150.8,82.99,4.9
hermanus,78,ZA,1587250113,79,-34.42,19.23,64.99,2.04
hobart,75,AU,1587250057,87,-42.88,147.33,48.99,6.93
kodiak,20,US,1587250063,75,57.79,-152.41,46.4,13.87
busselton,95,AU,1587250256,97,-33.65,115.33,61.0,22.03
eyl,73,SO,1587250548,79,7.98,49.82,81.46,10.25
punta arenas,96,PH,1587250253,80,8.99,125.34,79.09,4.32
bang saphan,98,CM,1587250549,13,9.87,13.98,81.82,0.31
puerto ayora,20,ES,1587250250,77,36.59,-6.23,62.6,6.93
castro,47,BR,1587250208,69,-24.79,-50.01,56.71,6.08
komsomolskiy,4,UZ,1587250288,58,40.43,71.72,55.4,6.93
namatanai,96,PG,1587250199,74,-3.67,152.43,83.53,6.33
inirida,100,CO,1587250550,95,3.87,-67.92,74.12,0.96
tabuk,92,PH,1587250550,72,17.42,121.44,80.26,6.6
batagay-alyta,4,RU,1587250550,72,67.8,130.41,6.31,1.52
kaili,69,ID,1587250550,66,-3.46,120.21,75.52,2.19
port alfred,98,CD,1587250168,60,-7.03,29.76,73.72,3.42
khatanga,0,RU,1587250133,94,71.97,102.5,14.76,4.16
rio gallegos,34,GR,1587250267,93,38.3,21.78,51.8,2.01
kautokeino,92,NO,1587250550,83,69.01,23.04,32.11,4.23
hilo,20,US,1587250152,54,19.73,-155.09,82.4,12.75
sincelejo,43,CO,1587250370,76,9.3,-75.4,79.45,8.84
nishihara,75,JP,1587250551,94,26.18,127.76,75.2,5.82
ushuaia,40,AR,1587250061,57,-54.8,-68.3,48.2,3.91
tiksi,68,RU,1587250008,85,71.69,128.87,10.29,3.94
sangamner,53,IN,1587250551,40,19.57,74.22,80.26,6.35
shelburne,69,CA,1587250551,53,44.08,-80.2,48.0,10.94
mys shmidta,100,RU,1587250261,91,62.06,48.62,33.58,3.02
vaini,40,TO,1587250249,74,-21.2,-175.2,80.6,11.41
albany,76,US,1587249975,55,42.6,-73.97,46.99,11.52
norman wells,1,US,1587250311,37,35.22,-97.44,66.99,18.34
mwinilunga,83,ZM,1587250290,63,-11.74,24.43,62.04,5.68
cape town,90,CL,1587250265,68,-36.41,-71.9,71.6,10.29
dawlatabad,96,AF,1587250552,37,36.41,64.91,59.77,1.19
port-gentil,66,GA,1587250253,85,-0.72,8.78,81.61,10.07
gympie,93,AU,1587250552,97,-26.19,152.66,64.99,1.86
kaitangata,82,NZ,1587250293,62,-46.28,169.85,57.99,7.0
bluff,100,NZ,1587250258,77,-46.6,168.33,52.0,8.99
seoul,90,KR,1587250378,71,37.57,126.98,55.4,7.0
vardo,90,NO,1587250295,81,70.37,31.11,36.64,18.32
kapaa,1,US,1587250058,65,22.08,-159.32,80.6,5.82
hofn,99,IS,1587250264,88,64.25,-15.21,45.46,14.67
valley city,1,US,1587250553,27,45.13,-116.13,51.8,6.93
nanortalik,89,GL,1587250285,92,60.14,-45.24,28.76,5.21
russell,1,US,1587250553,36,32.35,-85.2,78.8,8.05
evensk,100,RU,1587250553,88,61.95,159.23,18.86,11.7
chuy,10,UY,1587250005,86,-33.7,-53.46,64.35,9.82
yellowknife,90,CA,1587250255,92,62.46,-114.35,24.8,12.75
victoria,43,HK,1587250072,88,22.29,114.16,75.0,5.99
arlit,0,NE,1587250249,11,18.74,7.39,83.97,7.54
leh,87,IN,1587250554,20,34.17,77.58,31.66,3.13
grand-santi,77,GF,1587250272,93,4.25,-54.38,74.77,2.82
bredasdorp,55,ZA,1587250260,93,-34.53,20.04,59.0,2.84
zwolle,93,NL,1587250554,62,52.51,6.09,53.01,1.01
port elizabeth,98,CD,1587250168,60,-7.03,29.76,73.72,3.42
sheridan,75,US,1587250370,33,44.83,-106.92,57.2,12.75
katsuura,5,JP,1587250241,55,35.13,140.3,64.99,20.02
xuddur,100,SO,1587250554,68,4.12,43.89,76.78,13.18
guerrero negro,37,MX,1587250305,25,17.67,-100.0,86.07,3.83
fortuna,90,US,1587250185,76,40.6,-124.16,59.0,3.36
huarmey,36,PE,1587250290,76,-10.07,-78.15,72.61,7.9
tabou,100,CI,1587250555,86,4.42,-7.35,79.34,7.83
mahebourg,75,MU,1587250274,78,-20.41,57.7,78.01,12.75
vila franca do campo,20,PT,1587250263,93,42.03,-8.16,50.0,3.36
beloha,6,MG,1587250314,83,-25.17,45.05,70.66,12.28
kloulklubed,75,PW,1587250262,88,7.04,134.26,80.6,6.93
marawi,75,PH,1587250555,56,8.0,124.29,77.77,2.15
nandigama,2,IN,1587250555,90,16.78,80.3,77.23,3.44
hithadhoo,79,MV,1587249983,73,-0.6,73.08,83.93,11.03
piacabucu,99,BR,1587250556,84,-10.41,-36.43,79.25,7.7
kizukuri,75,JP,1587250556,81,40.81,140.39,42.8,18.34
campbell river,1,US,1587250556,65,38.95,-84.38,55.0,10.29
ribeira grande,40,ES,1587250281,100,42.75,-8.44,50.0,1.14
quesnel,1,CA,1587250556,33,53.0,-122.5,57.2,4.7
tilichiki,0,RU,1587250293,91,60.47,166.1,10.78,10.83
east london,75,IS,1587250267,66,65.0,-15.0,48.2,20.8
nenjiang,100,CN,1587250556,28,49.18,125.22,60.39,20.74
rizhao,100,CN,1587250556,89,35.43,119.46,49.55,9.26
jamestown,1,US,1587250269,41,42.1,-79.24,46.0,13.87
airai,59,TL,1587250003,48,-8.93,125.41,68.59,3.67
tuatapere,47,NZ,1587250277,77,-46.13,167.68,52.0,8.99
butaritari,88,KI,1587250250,77,3.07,172.79,83.34,17.34
kapoeta,99,SS,1587250557,51,4.77,33.59,78.39,4.59
bethel,90,US,1587250068,82,41.37,-73.41,42.8,12.75
menongue,89,AO,1587250557,60,-14.66,17.69,62.62,3.47
upernavik,99,GL,1587250120,90,72.79,-56.15,22.95,14.5
nyurba,85,RU,1587250557,91,63.28,118.33,13.8,7.02
gat,0,IL,1587250557,19,31.61,34.76,64.99,5.08
